,activeflag,businesstype,curvetype,documentid,documentrevnum,documenttype,powersystemresourcetype,processtype,quantity,resolution,settlementdate,settlementperiod,timeseriesid
72,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121216,1,Actual generation per type,Fossil Gas,Realised,6980.0,PT30M,2018-04-25,7,NGET-EMFIP-AGPT-TS-00614198
73,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121216,1,Actual generation per type,Fossil Hard coal,Realised,0.0,PT30M,2018-04-25,7,NGET-EMFIP-AGPT-TS-00614199
74,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121216,1,Actual generation per type,Hydro Run-of-river and poundage,Realised,175.0,PT30M,2018-04-25,7,NGET-EMFIP-AGPT-TS-00614200
75,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121216,1,Actual generation per type,Hydro Pumped Storage,Realised,0.0,PT30M,2018-04-25,7,NGET-EMFIP-AGPT-TS-00614201
76,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121216,1,Actual generation per type,Biomass,Realised,1151.0,PT30M,2018-04-25,7,NGET-EMFIP-AGPT-TS-00614202
77,True,Solar generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121226,1,Actual generation per type,Solar,Realised,0.0,PT30M,2018-04-25,8,NGET-EMFIP-AGPT-TS-00614203
78,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121226,1,Actual generation per type,Wind Offshore,Realised,2595.674,PT30M,2018-04-25,8,NGET-EMFIP-AGPT-TS-00614204
79,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121226,1,Actual generation per type,Wind Onshore,Realised,3208.151,PT30M,2018-04-25,8,NGET-EMFIP-AGPT-TS-00614205
80,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121226,1,Actual generation per type,Other,Realised,124.0,PT30M,2018-04-25,8,NGET-EMFIP-AGPT-TS-00614206
81,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121226,1,Actual generation per type,Nuclear,Realised,7166.0,PT30M,2018-04-25,8,NGET-EMFIP-AGPT-TS-00614207
82,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121226,1,Actual generation per type,Fossil Oil,Realised,0.0,PT30M,2018-04-25,8,NGET-EMFIP-AGPT-TS-00614208
83,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121226,1,Actual generation per type,Fossil Gas,Realised,7040.0,PT30M,2018-04-25,8,NGET-EMFIP-AGPT-TS-00614209
84,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121226,1,Actual generation per type,Fossil Hard coal,Realised,0.0,PT30M,2018-04-25,8,NGET-EMFIP-AGPT-TS-00614210
85,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121226,1,Actual generation per type,Hydro Run-of-river and poundage,Realised,172.0,PT30M,2018-04-25,8,NGET-EMFIP-AGPT-TS-00614211
86,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121226,1,Actual generation per type,Hydro Pumped Storage,Realised,0.0,PT30M,2018-04-25,8,NGET-EMFIP-AGPT-TS-00614212
87,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121226,1,Actual generation per type,Biomass,Realised,1114.0,PT30M,2018-04-25,8,NGET-EMFIP-AGPT-TS-00614213
88,True,Solar generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121227,1,Actual generation per type,Solar,Realised,0.0,PT30M,2018-04-25,9,NGET-EMFIP-AGPT-TS-00614214
89,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121227,1,Actual generation per type,Wind Offshore,Realised,112.115,PT30M,2018-04-25,9,NGET-EMFIP-AGPT-TS-00614215
90,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121227,1,Actual generation per type,Wind Onshore,Realised,1383.26,PT30M,2018-04-25,9,NGET-EMFIP-AGPT-TS-00614216
91,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121227,1,Actual generation per type,Other,Realised,125.0,PT30M,2018-04-25,9,NGET-EMFIP-AGPT-TS-00614217
